X1,X2,X3,X4,X5,Y
84,53,-99,11,-54,0
21,-15,-27,-29,-19,0
-6,30,-73,71,21,1
72,-9,-27,-86,53,1
76,-4,69,-47,-64,1
-94,-20,-61,5,-32,0
-3,-38,-6,55,54,1
-45,-46,71,-85,30,0
83,-3,-3,6,45,1
27,-58,-92,46,-18,0
-37,-53,-38,61,22,0
-29,-98,14,-51,52,0
-33,-54,-19,-27,-15,0
-98,-20,-45,22,86,0
-41,-51,-17,86,61,1
73,-22,77,-47,37,1
88,-53,18,-68,61,1
-26,-7,-12,98,-5,1
48,40,-1,59,26,1
-3,12,93,-72,-61,0
1,-78,50,77,-29,1
-3,95,96,-25,92,1
-78,82,57,-51,35,1
70,29,-59,83,-65,1
-36,41,100,-2,88,1
90,31,5,86,-84,1
27,47,9,-28,20,1
-6,-98,33,99,-34,0
84,-58,-11,-3,10,1
50,-63,-54,30,-88,0
-71,-56,38,69,36,1
53,-45,5,36,35,1
23,-89,36,98,-41,1
-58,48,-49,43,57,1
-9,-13,28,-22,-8,0
-3,-39,-62,-36,-99,0
-18,35,98,-43,41,1
-41,32,-16,49,-26,0
49,44,-23,16,-40,1
38,-1,35,-15,87,1
97,-30,57,-18,-92,1
-20,-79,77,-33,-1,0
-6,48,-18,-77,-78,0
-47,-1,-56,65,38,0
30,87,-28,-49,14,1
51,-93,57,56,0,1
74,70,8,11,9,1
7,93,91,-27,-69,1
62,-77,-45,85,-57,0
83,-18,-13,-95,14,0
64,-31,-30,34,-4,1
65,-34,82,-16,5,1
15,47,66,57,-42,1
-94,-4,-55,71,63,0
49,-92,50,-69,34,0
17,-87,78,94,38,1
-28,49,10,91,-6,1
-44,-74,38,27,-93,0
36,-72,3,-21,-24,0
0,-71,25,-17,-44,0
96,53,-31,60,58,1
10,2,14,95,-65,1
19,0,-9,-100,61,0
-35,-33,64,-14,2,0
26,-65,82,-60,22,1
-67,-32,39,13,-55,0
-69,-83,-5,69,-6,0
-18,-22,73,-83,99,1
12,12,63,-70,-41,0
-39,-96,10,24,24,0
-20,22,-19,7,85,1
-88,-51,85,-3,-16,0
-82,-24,-21,31,76,0
38,85,-83,-1,-32,1
-80,-29,-92,-8,92,0
41,-64,81,89,90,1
-83,57,-58,55,35,1
-60,4,-11,63,-58,0
-66,57,40,-57,40,1
-46,41,24,42,81,1
24,3,30,82,98,1
3,-8,-75,91,72,1
-76,-20,76,-69,80,0
-37,64,-78,-44,55,0
34,-56,71,-23,-87,0
62,66,50,19,-99,1
29,23,-6,-6,38,1
-14,-91,-71,77,83,0
97,16,-96,93,37,1
-53,13,-90,-100,50,0
-7,38,56,55,34,1
21,-53,17,-36,26,0
-61,-21,63,74,-76,0
78,-47,87,21,-19,1
10,88,-14,70,-34,1
-63,50,-52,-64,72,0
72,25,-41,76,-6,1
27,13,22,61,98,1
16,-70,58,70,18,1
-39,-96,36,59,-61,0
2,-23,-6,-33,-3,0
-24,54,61,-39,-58,0
-69,42,93,-47,-10,1
-31,47,82,33,100,1
86,54,-35,67,-24,1
11,67,79,-4,76,1
-15,-100,33,68,-53,0
90,24,-92,-49,-75,0
59,-12,91,-8,-10,1
-58,-29,12,97,-94,0
41,-14,-15,-77,-69,0
83,92,65,55,75,1
33,98,-88,-89,-51,0
-86,56,38,0,16,1
1,20,52,3,-9,1
80,-66,40,44,64,1
57,6,-79,-51,-89,0
18,-57,71,-79,-51,0
-13,-56,44,-88,-61,0
-56,8,16,43,26,1
81,-5,-92,55,-30,1
15,-99,-79,-44,-67,0
83,15,5,66,14,1
28,76,-68,-85,12,0
-27,99,-85,100,-7,1
-24,78,-36,-95,-88,0
95,-1,85,-61,95,1
99,-6,73,17,88,1
-66,97,23,-12,-30,1
20,-24,84,-76,56,1
-90,-45,-25,89,-19,0
33,77,57,-78,-11,1
-36,-28,-34,14,-93,0
-15,23,51,41,-31,1
-46,-21,56,19,-40,0
14,-97,45,56,26,1
20,49,59,98,26,1
-89,-16,-77,-4,89,0
-50,-84,24,-8,-12,0
77,-82,-24,-95,56,0
47,31,-33,34,36,1
-78,-4,33,67,-79,0
