X1,X2,X3,X4,X5,Y
-50,45,87,-97,24,1
-15,13,55,17,-35,0
-70,73,92,-58,39,1
3,63,18,47,-47,1
57,56,-8,94,5,0
-27,-22,-12,-76,-36,0
-84,-99,-48,-68,-24,1
-33,-48,21,-73,53,0
29,13,-89,12,-46,0
89,-21,71,-76,-6,0
-81,36,26,-91,99,1
-67,61,-88,-94,-86,0
-3,-9,68,-33,35,0
-88,14,63,-75,-49,0
-34,-13,3,85,76,1
11,61,-44,-63,-46,1
-26,94,12,-23,35,0
-57,71,87,79,77,1
76,44,-21,6,50,0
70,-1,51,15,24,0
63,-95,23,-38,55,0
-68,-82,55,-57,15,0
-59,71,42,0,-97,0
1,-16,-88,9,37,1
-88,-85,68,89,18,0
-51,24,27,74,-56,0
-29,-72,-51,-21,43,1
69,-54,-74,67,-77,0
58,35,55,47,-65,1
94,-39,19,80,37,1
-64,-58,-49,23,58,0
20,-72,34,79,46,0
-67,57,-78,-70,61,0
-15,-36,30,-12,33,1
62,27,30,-96,96,0
-75,4,29,36,-26,1
-38,88,64,78,-26,0
7,-64,29,8,0,1
5,2,-88,-89,-51,1
68,89,16,63,-59,1
52,71,19,43,-26,0
81,-79,-96,-64,28,0
68,42,63,-33,19,0
-38,-27,-31,99,83,0
-41,70,-12,-24,43,1
-24,87,3,-31,89,1
-53,13,-94,83,78,0
-24,62,19,-92,-25,0
-11,-65,-86,-33,-84,0
-24,-87,-41,-54,-5,0
-10,-54,75,6,-41,0
-53,-96,52,-3,-67,0
-78,55,-77,-95,18,0
-74,-74,97,-3,-48,0
-32,-64,44,-26,-39,0
78,-11,-61,53,60,1
-93,66,8,-24,-18,1
-68,-81,28,-56,-18,1
22,-47,-50,-54,17,1
88,51,-82,-41,-89,0
100,42,53,78,5,0
-94,-18,81,80,-72,0
-65,-38,-90,-21,-34,1
77,-88,-26,-43,-7,0
93,22,-55,-16,-60,0
26,-18,-35,84,-92,1
40,100,70,-94,-86,0
31,66,44,64,51,0
53,-83,-91,2,84,0
-34,90,12,34,53,0
-72,-35,14,-72,-35,0
-50,66,-94,92,-31,1
-29,13,71,65,17,0
31,-74,55,58,38,0
69,-70,-59,84,21,0
-97,92,98,-2,10,0
6,46,-73,50,47,1
-25,64,-63,11,11,1
-17,52,-23,11,62,0
38,48,84,53,81,0
-13,63,-5,-60,-50,1
-40,-34,-51,52,69,0
4,-53,51,41,-24,0
53,-23,-39,-5,-20,1
-69,5,-17,57,17,0
88,-30,-85,5,90,0
-64,-64,-7,59,-40,1
94,-86,46,49,96,0
100,80,-73,-78,97,0
-77,-19,-41,26,-43,0
-3,49,5,92,91,0
65,58,13,-55,-66,1
-1,-27,17,-74,-80,1
-36,-73,39,-25,-90,0
75,-8,50,-83,-61,0
-20,17,-14,11,-46,1
-90,-2,51,80,45,1
28,6,85,81,43,1
-53,-74,-82,-100,30,1
14,-14,-40,56,-89,1
38,-36,-40,-55,-75,0
66,-55,48,-58,-8,0
-43,-51,-54,-23,-43,0
0,64,1,-1,43,0
48,-86,-34,-6,89,1
-67,-9,-30,-10,-31,0
1,-78,60,-70,49,0
-28,70,-44,8,47,0
7,32,-84,3,-19,1
38,22,-68,-92,31,1
37,6,29,85,1,0
6,-67,79,-28,7,1
-54,-93,41,-63,-79,0
-37,40,-52,83,67,1
-59,-76,-62,-99,38,0
19,93,8,34,-73,0
-43,58,-83,0,44,1
43,-96,41,-42,1,1
-69,-24,84,-5,-68,0
-73,39,42,46,-22,0
43,11,-38,62,-97,0
-90,31,35,-68,77,0
50,-74,5,54,90,0
-95,70,-4,69,-83,0
37,69,83,-35,-73,0
-73,-14,65,-96,81,1
-79,44,-48,-90,78,0
42,4,96,88,-14,0
-58,12,76,89,56,0
75,100,-81,-12,-27,0
83,85,-70,-17,-82,1
-66,-27,-81,-2,-70,0
66,-51,38,-59,58,0
5,13,-44,-36,40,1
-5,-29,15,0,65,1
-72,33,90,18,54,0
-38,-85,-41,-75,100,0
53,81,74,47,37,1
89,9,-23,34,45,1
93,-83,-17,-37,-48,1
40,46,-35,-1,-45,0
61,-33,-56,-34,61,0
62,52,-64,-51,-69,1
98,35,-100,-58,17,1
-47,-26,-85,39,-100,0
73,10,-15,-12,-92,0
3,-88,-7,83,-33,0
100,59,-25,72,-6,0
-100,55,80,-77,50,0
-67,59,48,-64,57,0
-62,-63,-27,85,-68,1
98,-10,-90,19,-93,1
-73,-57,81,-98,-88,0
28,-21,-87,-63,97,1
15,-38,12,65,-64,1
68,-79,-58,61,17,0
-2,-80,31,22,-78,0
86,9,81,45,-100,0
-47,-35,-51,85,-81,0
31,69,8,-35,-5,1
-80,97,81,47,65,0
-81,-21,0,15,55,1
-58,42,-91,-66,58,1
26,53,-17,46,-37,0
51,-96,-79,99,-5,0
33,-78,53,60,36,1
57,98,24,93,-85,0
81,55,-2,-4,-90,0
-13,8,-76,-58,-83,0
40,-80,-34,-98,95,1
92,47,26,16,-10,0
-70,86,51,-91,-63,0
87,9,-19,27,-22,0
-41,36,7,81,74,0
-4,-23,-68,60,17,0
36,10,100,-67,91,0
35,-55,32,-14,89,1
-100,8,22,61,27,1
62,-33,36,64,61,1
19,28,-76,-41,-62,0
77,-84,18,-59,8,1
68,33,88,-22,-62,1
-15,-87,59,88,-27,0
93,-73,46,69,63,1
-61,68,-63,-92,22,1
27,-90,-16,-47,4,0
-22,5,-85,66,-59,0
24,39,-16,47,-40,1
86,-54,62,31,-82,0
85,58,87,-18,-90,0
-93,-40,-64,-87,60,0
-100,43,69,-99,-94,1
95,-31,58,-30,-10,0
-67,-60,41,-3,90,0
36,26,52,65,-79,0
-36,45,30,43,31,0
-37,51,-32,63,-70,1
-84,-62,25,39,37,0
25,56,98,-58,87,0
-21,-69,95,12,43,1
-21,-98,-61,45,15,1
26,-25,88,3,-61,1
-4,-65,47,47,18,0
-69,-76,-99,96,55,0
18,-54,83,83,-40,0
-34,-28,-4,-71,81,1
-30,29,-87,-93,-37,0
-62,20,12,-57,24,0
-83,-76,37,-50,34,1
-85,74,28,40,-27,0
-83,-46,52,-64,-88,0
34,-15,81,60,73,0
-2,53,-14,-31,-93,1
-26,54,-4,-88,54,0
19,-63,-42,46,16,0
-29,92,-14,28,78,1
-48,-13,-32,11,-9,0
49,23,86,63,-38,1
-51,17,91,-85,24,0
44,95,15,-50,96,0
-68,-24,-60,-99,63,0
-69,-5,54,7,90,0
24,61,79,2,-24,1
-44,-36,15,-70,14,0
17,11,6,19,31,1
20,-99,93,95,-57,1
68,-85,53,-45,36,0
26,90,82,54,-5,1
59,38,93,-86,80,0
-63,-26,70,-17,52,0
70,-16,-64,35,-88,1
39,33,70,89,-84,0
